"RS","NAME","INSGESAMT","INSG_M","INSG_W","AUSL_INSG","AUSL_M","AUSL_W","IIU6","IMU6","IWU6","DIU6","DMU6","DWU6","AIU6","AMU6","AWU6","II6BU15","IM6BU15","IW6BU15","DI6BU15","DM6BU15","DW6BU15","AI6BU15","AM6BU15","AW6BU15","II15BU65","IM15BU65","IW15BU65","DI15BU65","DM15BU65","DW15BU65","AI15BU65","AM15BU65","AW15BU65","II65UM","IM65UM","IW65UM","DI65UM","DM65UM","DW65UM","AI65UM","AM65UM","AW65UM","ANT_AI","ANT_AM","ANT_AW","ANT_AIU6","ANT_AMU6","ANT_AWU6","ANT_AI6BU15","ANT_AM6BU15","ANT_AW6BU15","ANT_AI15BU65","ANT_AM15BU65","ANT_AW15BU65","ANT_AI65UM","ANT_AM65UM","ANT_AW65UM","SOZ_INS","SOZ_AUS","BESCHQ_INS","BESCHQ_AUS","ARBLOS_INSG","ARBLOS_AUSL","BESCH_AUS_ABSOLUT","ARBSUCH_INSG_ABSOLUT","ARBSUCH_FLUMI_ABSOLUT","ALQ_AUSL","ANT_ARBS_FLUMI","ANT_SOZ_AUS","kurs_begon","kurs_beend","kurs_tnber","kurs_tln","AZR_INSG","AZR_GASTARB","AZR_EU27_AUSL","AZR_OST2004","AZR_NICHTEU_AUSL","AZR_TUERKEI","AZR_UKRAINE","AZR_SYRIEN","AZR_RUMAENIEN","AZR_POLEN","AZR_EUNIEDERL","AZR_UNBEFR","AZR_BEFR","AZR_ERWERB","AZR_BLUE_C","AZR_GESTATT","AZR_DULD","AZR_U6","AZR_6BU15","AZR_15BU65","AZR_65UM","AZR_ADU2","AZR_AD2BU10","AZR_AD10BU25","AZR_AD25UM","AZR_ANT_GASTARB","AZR_ANT_EU27_AUSL","AZR_ANT_OST2004","AZR_ANT_NICHTEU_AUSL","AZR_ANT_TUERKEI","AZR_ANT_UKRAINE","AZR_ANT_SYRIEN","AZR_ANT_RUMAENIEN","AZR_ANT_POLEN","AZR_ANT_EUNIEDERL","AZR_ANT_UNBEFR","AZR_ANT_BEFR","AZR_ANT_ERWERB","AZR_ANT_BLUE_C","AZR_ANT_GESTATT","AZR_ANT_DULD","AZR_ANT_U6","AZR_ANT_6BU15","AZR_ANT_15BU65","AZR_ANT_65UM","AZR_ANT_ADU2","AZR_ANT_AD2BU10","AZR_ANT_AD10BU25","AZR_ANT_AD25UM","N_Sch_I","N_Sch_I_Lag","N_Sch_O","N_Sch_J","N_Sch_N","N_Sch_UA","N_Sch_SY","N_Sch_AF","N_Sch_IQ","N_Sch_RU","N_Sch_IR","N_Sch_XK","A2_Sch_i","A_Sch_O","A_Sch_J","A_Sch_N","A_Sch_UA","A_Sch_SY","A_Sch_AF","A_Sch_IQ","A_Sch_RU","A_Sch_IR","A_Sch_XK","Sch_I_lag"
01001,"Flensburg, Stadt",92550,45874,46676,17085,9183,7902,5212,2710,2502,3885,2034,1851,1327,676,651,7208,3704,3504,5628,2884,2744,1580,820,760,61664,31437,30227,48675,24261,24414,12989,7176,5813,18466,8023,10443,17277,7512,9765,1189,511,678,18.5,20.0,16.9,25.5,24.9,26.0,21.9,22.1,21.7,21.1,22.8,19.2,6.4,6.4,6.5,34468,5326,56.9,45.2,3949,1136,5899,7184,1125,15.7,15.7,15.5,42,35,529,498,20350,2420,8610,5275,11740,800,1120,2930,3095,935,9155,1900,6115,245,60,95,225,1340,1745,15870,1395,4800,11050,2425,2075,11.9,42.3,25.9,57.7,3.9,5.5,14.4,15.2,4.6,45.0,9.3,30.0,1.2,.3,.5,1.1,6.6,8.6,78.0,6.9,23.6,54.3,11.9,10.2,5200,4080,195,4770,235,980,2090,545,535,45,110,25,5.6,3.8,91.7,4.5,18.8,40.2,10.5,10.3,0.9,2.1,0.5,27.5
01002,"Kiel, Stadt",247717,120149,127568,33618,16824,16794,13084,6643,6441,10594,5410,5184,2490,1233,1257,18165,9312,8853,14920,7685,7235,3245,1627,1618,169451,83918,85533,144285,71105,73180,25166,12813,12353,47017,20276,26741,44300,19125,25175,2717,1151,1566,13.6,14.0,13.2,19.0,18.6,19.5,17.9,17.5,18.3,14.9,15.3,14.4,5.8,5.7,5.9,95272,10155,56.5,43.6,10122,3426,11988,19296,2649,22.4,13.7,10.7,100,92,1544,1139,36240,7010,8215,5750,28030,4220,3155,5645,870,1950,8645,6275,16235,830,240,480,1185,2520,3580,27195,2945,6830,17975,6330,5110,19.3,22.7,15.9,77.3,11.6,8.7,15.6,2.4,5.4,23.9,17.3,44.8,2.3,.7,1.3,3.3,7.0,9.9,75.0,8.1,18.8,49.6,17.5,14.1,12475,9310,655,10790,1030,2710,4250,905,1735,420,305,35,5.0,5.3,86.5,8.3,21.7,34.1,7.3,13.9,3.4,2.4,0.3,34.0
01003,"Lübeck, Stadt",218095,104723,113372,27301,13668,13633,10895,5595,5300,9227,4748,4479,1668,847,821,16557,8552,8005,14087,7311,6776,2470,1241,1229,139564,69086,70478,119037,58663,60374,20527,10423,10104,51079,21490,29589,48443,20333,28110,2636,1157,1479,12.5,13.1,12.0,15.3,15.1,15.5,14.9,14.5,15.4,14.7,15.1,14.3,5.2,5.4,5.0,82968,8931,60.0,48.7,8960,2751,10209,16326,1829,21.9,11.2,10.8,74,76,963,808,30050,7585,9095,5880,20960,4285,2685,2875,1120,2640,9435,6300,9315,555,195,495,960,1755,2650,22470,3175,5360,13050,5660,5980,25.2,30.3,19.6,69.8,14.3,8.9,9.6,3.7,8.8,31.4,21.0,31.0,1.8,.6,1.6,3.2,5.8,8.8,74.8,10.6,17.8,43.4,18.8,19.9,8445,6055,905,6665,875,2320,2030,855,870,345,365,20,3.9,10.7,78.9,10.4,27.5,24.0,10.1,10.3,4.1,4.3,0.2,39.5
01004,"Neumünster, Stadt",79502,39256,40246,11251,6060,5191,4215,2220,1995,3368,1782,1586,847,438,409,6545,3366,3179,5271,2675,2596,1274,691,583,50416,25710,24706,42080,21107,20973,8336,4603,3733,18326,7960,10366,17532,7632,9900,794,328,466,14.2,15.4,12.9,20.1,19.7,20.5,19.5,20.5,18.3,16.5,17.9,15.1,4.3,4.1,4.5,30575,3522,60.7,44.6,3376,926,3968,6070,584,18.9,9.6,11.5,21,19,455,221,14300,3205,4695,4100,9605,1820,2005,1350,1280,1025,4925,2345,3230,180,60,425,190,1035,1725,10585,960,3835,6760,1800,1905,22.4,32.8,28.7,67.2,12.7,14.0,9.4,9.0,7.2,34.4,16.4,22.6,1.3,.4,3.0,1.3,7.2,12.1,74.0,6.7,26.8,47.3,12.6,13.3,4605,2690,1950,2285,370,1870,875,515,235,85,105,40,5.8,42.3,49.6,8.0,40.6,19.0,11.2,5.1,1.8,2.3,0.9,71.2
01051,"Dithmarschen",135252,66561,68691,10502,5550,4952,6731,3400,3331,5763,2915,2848,968,485,483,10766,5469,5297,9409,4791,4618,1357,678,679,83224,41926,41298,75603,37786,37817,7621,4140,3481,34531,15766,18765,33975,15519,18456,556,247,309,7.8,8.3,7.2,14.4,14.3,14.5,12.6,12.4,12.8,9.2,9.9,8.4,1.6,1.6,1.6,50388,3261,60.9,50.5,4028,1028,3653,6865,854,22.8,12.4,6.5,19,22,842,400,11615,1530,4240,3395,7375,470,1535,1515,1585,1285,4365,1090,3570,125,45,380,355,975,1495,8515,630,3080,5815,1690,1025,13.2,36.5,29.2,63.5,4.0,13.2,13.0,13.6,11.1,37.6,9.4,30.7,1.1,.4,3.3,3.1,8.4,12.9,73.3,5.4,26.5,50.1,14.6,8.8,3950,2720,940,2640,370,1385,935,405,310,80,115,25,2.9,23.8,66.8,9.4,35.1,23.7,10.3,7.8,2.0,2.9,0.6,45.2
01053,"Herzogtum Lauenburg",203712,99689,104023,20921,10597,10324,11833,6123,5710,10293,5295,4998,1540,828,712,18208,9335,8873,15736,8059,7677,2472,1276,1196,127340,63544,63796,112097,55816,56281,15243,7728,7515,46331,20687,25644,44665,19922,24743,1666,765,901,10.3,10.6,9.9,13.0,13.5,12.5,13.6,13.7,13.5,12.0,12.2,11.8,3.6,3.7,3.5,78060,6448,62.0,48.2,5444,1803,7186,9485,1322,20.0,13.9,8.3,28,25,863,609,21770,4875,7160,5370,14615,2390,2470,1905,1155,2545,7545,3720,6810,300,75,420,785,1510,2520,16055,1685,4950,9935,3385,3505,22.4,32.9,24.7,67.1,11.0,11.3,8.8,5.3,11.7,34.7,17.1,31.3,1.4,.3,1.9,3.6,6.9,11.6,73.7,7.7,22.7,45.6,15.5,16.1,7175,4650,1005,5405,765,2200,1410,1260,505,175,265,100,3.5,14.0,75.3,10.7,30.7,19.7,17.6,7.0,2.4,3.7,1.4,54.3
01054,"Nordfriesland",169043,82669,86374,15304,8095,7209,8638,4498,4140,7547,3901,3646,1091,597,494,13068,6728,6340,11447,5874,5573,1621,854,767,105273,52545,52728,93635,46302,47333,11638,6243,5395,42064,18898,23166,41110,18497,22613,954,401,553,9.1,9.8,8.3,12.6,13.3,11.9,12.4,12.7,12.1,11.1,11.9,10.2,2.3,2.1,2.4,64543,5506,61.6,54.5,4784,1247,6044,7864,797,18.0,10.1,8.5,16,14,698,341,15550,2015,6355,4515,9195,380,1750,1415,1090,2400,6640,1395,5325,295,60,390,655,1045,1630,11745,1130,3460,7650,2430,2010,13.0,40.9,29.0,59.1,2.4,11.3,9.1,7.0,15.4,42.7,9.0,34.2,1.9,.4,2.5,4.2,6.7,10.5,75.5,7.3,22.3,49.2,15.6,12.9,5280,3340,585,4045,650,1600,1155,710,505,160,135,15,3.1,11.1,76.6,12.3,30.3,21.9,13.4,9.6,3.0,2.6,0.3,58.1
01055,"Ostholstein",203606,97822,105784,15571,7715,7856,9269,4649,4620,8249,4157,4092,1020,492,528,14980,7594,7386,13283,6718,6565,1697,876,821,122078,59929,62149,110344,54049,56295,11734,5880,5854,57279,25650,31629,56159,25183,30976,1120,467,653,7.6,7.9,7.4,11.0,10.6,11.4,11.3,11.5,11.1,9.6,9.8,9.4,2.0,1.8,2.1,75477,5988,62.2,61.4,5488,1474,6591,9551,1035,20.5,10.8,7.9,17,13,916,596,16445,2590,5650,3945,10795,600,2375,1785,785,1965,5890,1675,4775,330,55,500,680,975,1725,12425,1315,4185,7790,2265,2200,15.7,34.4,24.0,65.6,3.6,14.4,10.9,4.8,11.9,35.8,10.2,29.0,2.0,.3,3.0,4.1,5.9,10.5,75.6,8.0,25.4,47.4,13.8,13.4,6095,3645,1850,3505,740,2160,1300,665,700,180,180,35,3.0,30.4,57.5,12.1,35.4,21.3,10.9,11.5,3.0,3.0,0.6,67.2
01056,"Pinneberg",322130,157663,164467,42178,21518,20660,18433,9485,8948,15697,8095,7602,2736,1390,1346,28356,14477,13879,24247,12369,11878,4109,2108,2001,203478,102155,101323,171554,85646,85908,31924,16509,15415,71863,31546,40317,68454,30035,38419,3409,1511,1898,13.1,13.6,12.6,14.8,14.7,15.0,14.5,14.6,14.4,15.7,16.2,15.2,4.7,4.8,4.7,130765,14901,64.9,51.7,8867,3675,16643,16024,2582,18.2,16.1,11.4,70,47,1801,1225,47010,12860,16180,10590,30830,5790,3585,4005,2730,4525,17330,9410,15140,1050,270,645,1165,2950,4485,35345,4230,8390,20650,8180,9785,27.4,34.4,22.5,65.6,12.3,7.6,8.5,5.8,9.6,36.9,20.0,32.2,2.2,.6,1.4,2.5,6.3,9.5,75.2,9.0,17.8,43.9,17.4,20.8,12665,9010,995,10540,1130,3080,3105,2625,775,340,600,115,3.9,7.9,83.2,8.9,24.3,24.5,20.7,6.1,2.7,4.7,0.9,40.6
01057,"Plön",131266,63357,67909,7894,3956,3938,6765,3447,3318,6190,3157,3033,575,290,285,10757,5364,5393,9735,4868,4867,1022,496,526,78456,38714,39742,72733,35757,36976,5723,2957,2766,35288,15832,19456,34714,15619,19095,574,213,361,6.0,6.2,5.8,8.5,8.4,8.6,9.5,9.2,9.8,7.3,7.6,7.0,1.6,1.3,1.9,47262,2155,60.8,45.1,2688,621,2480,5185,639,20.9,12.3,4.6,7,8,549,348,8225,1080,1900,1130,6325,400,1380,1160,235,560,2055,1090,2870,115,20,315,355,555,1025,5960,685,2030,3810,1325,1055,13.1,23.1,13.7,76.9,4.9,16.8,14.1,2.9,6.8,25.0,13.3,34.9,1.4,.2,3.8,4.3,6.7,12.5,72.5,8.3,24.7,46.3,16.1,12.8,3855,2410,1115,2355,385,1250,845,335,395,110,85,35,2.9,28.9,61.1,10.0,32.4,21.9,8.7,10.2,2.9,2.2,0.9,60.0
